book_id,isbn,isbn13,authors,original_publication_year,original_title,title,average_rating,ratings_count
2767052,439023483,9780000000000,Suzanne Collins,2008.0,The Hunger Games,"The Hunger Games (The Hunger Games, #1)",4.34,4780653
3,439554934,9780000000000,"J.K. Rowling, Mary GrandPré",1997.0,Harry Potter and the Philosopher's Stone,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,4602479
41865,316015849,9780000000000,Stephenie Meyer,2005.0,Twilight,"Twilight (Twilight, #1)",3.57,3866839
2657,61120081,9780000000000,Harper Lee,1960.0,To Kill a Mockingbird,To Kill a Mockingbird,4.25,3198671
4671,743273567,9780000000000,F. Scott Fitzgerald,1925.0,The Great Gatsby,The Great Gatsby,3.89,2683664
11870085,525478817,9780000000000,John Green,2012.0,The Fault in Our Stars,The Fault in Our Stars,4.26,2346404
5907,618260307,9780000000000,J.R.R. Tolkien,1937.0,The Hobbit or There and Back Again,The Hobbit,4.25,2071616
5107,316769177,9780000000000,J.D. Salinger,1951.0,The Catcher in the Rye,The Catcher in the Rye,3.79,2044241
960,1416524797,9780000000000,Dan Brown,2000.0,Angels & Demons ,"Angels & Demons  (Robert Langdon, #1)",3.85,2001311
1885,679783261,9780000000000,Jane Austen,1813.0,Pride and Prejudice,Pride and Prejudice,4.24,2035490
77203,1594480001,9780000000000,Khaled Hosseini,2003.0,The Kite Runner ,The Kite Runner,4.26,1813044
13335037,62024035,9780000000000,Veronica Roth,2011.0,Divergent,"Divergent (Divergent, #1)",4.24,1903563
5470,451524934,9780000000000,"George Orwell, Erich Fromm, Celâl Üster",1949.0,Nineteen Eighty-Four,1984,4.14,1956832
7613,452284244,9780000000000,George Orwell,1945.0,Animal Farm: A Fairy Story,Animal Farm,3.87,1881700
48855,553296981,9780000000000,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,Het Achterhuis: Dagboekbrieven 14 juni 1942 - 1 augustus 1944,The Diary of a Young Girl,4.1,1972666
2429135,307269752,9780000000000,"Stieg Larsson, Reg Keeland",2005.0,Män som hatar kvinnor,"The Girl with the Dragon Tattoo (Millennium, #1)",4.11,1808403
6148028,439023491,9780000000000,Suzanne Collins,2009.0,Catching Fire,"Catching Fire (The Hunger Games, #2)",4.3,1831039
5,043965548X,9780000000000,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,Harry Potter and the Prisoner of Azkaban,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",4.53,1832823
34,618346252,9780000000000,J.R.R. Tolkien,1954.0, The Fellowship of the Ring,"The Fellowship of the Ring (The Lord of the Rings, #1)",4.34,1766803
7260188,439023513,9780000000000,Suzanne Collins,2010.0,Mockingjay,"Mockingjay (The Hunger Games, #3)",4.03,1719760
2,439358078,9780000000000,"J.K. Rowling, Mary GrandPré",2003.0,Harry Potter and the Order of the Phoenix,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.46,1735368
12232938,316166685,9780000000000,Alice Sebold,2002.0,The Lovely Bones,The Lovely Bones,3.77,1605173
15881,439064864,9780000000000,"J.K. Rowling, Mary GrandPré",1998.0,Harry Potter and the Chamber of Secrets,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",4.37,1779331
6,439139600,9780000000000,"J.K. Rowling, Mary GrandPré",2000.0,Harry Potter and the Goblet of Fire,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",4.53,1753043
136251,545010225,9780000000000,"J.K. Rowling, Mary GrandPré",2007.0,Harry Potter and the Deathly Hallows,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",4.61,1746574
968,307277674,9780000000000,Dan Brown,2003.0,The Da Vinci Code,"The Da Vinci Code (Robert Langdon, #2)",3.79,1447148
1,439785960,9780000000000,"J.K. Rowling, Mary GrandPré",2005.0,Harry Potter and the Half-Blood Prince,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",4.54,1678823
7624,140283331,9780000000000,William Golding,1954.0,Lord of the Flies ,Lord of the Flies,3.64,1605019
18135,743477111,9780000000000,"William Shakespeare, Robert           Jackson",1595.0,An Excellent conceited Tragedie of Romeo and Juliet,Romeo and Juliet,3.73,1628519
8442457,297859382,9780000000000,Gillian Flynn,2012.0,Gone Girl,Gone Girl,4.03,512475
4667024,399155341,9780000000000,Kathryn Stockett,2009.0,The Help,The Help,4.45,1531753
890,142000671,9780000000000,John Steinbeck,1937.0,Of Mice and Men ,Of Mice and Men,3.84,1467496
930,739326228,9780000000000,Arthur Golden,1997.0,Memoirs of a Geisha,Memoirs of a Geisha,4.08,1300209
10818853,1612130291,9780000000000,E.L. James,2011.0,Fifty Shades of Grey,"Fifty Shades of Grey (Fifty Shades, #1)",3.67,1338493
865,61122416,9780000000000,"Paulo Coelho, Alan R. Clarke",1988.0,O Alquimista,The Alchemist,3.82,1299566
3636,385732554,9780000000000,Lois Lowry,1993.0,The Giver,"The Giver (The Giver, #1)",4.12,1296825
100915,60764899,9780000000000,C.S. Lewis,1950.0,"The Lion, the Witch and the Wardrobe","The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",4.19,1531800
14050,965818675,9780000000000,Audrey Niffenegger,2003.0,The Time Traveler's Wife,The Time Traveler's Wife,3.95,746287
13496,553588486,9780000000000,George R.R. Martin,1996.0,A Game of Thrones,"A Game of Thrones (A Song of Ice and Fire, #1)",4.45,1319204
19501,143038419,9780000000000,Elizabeth Gilbert,2006.0,"Eat, pray, love: one woman's search for everything across Italy, India and Indonesia","Eat, Pray, Love",3.51,1181647
28187,786838655,9780000000000,Rick Riordan,2005.0,The Lightning Thief,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265
1934,451529308,9780000000000,Louisa May Alcott,1868.0,Little Women,"Little Women (Little Women, #1)",4.04,1257121
10210,142437204,9780000000000,"Charlotte Brontë, Michael Mason",1847.0,Jane Eyre,Jane Eyre,4.1,1198557
15931,553816713,9780000000000,Nicholas Sparks,1996.0,The Notebook,"The Notebook (The Notebook, #1)",4.06,1053403
43641,1565125606,9780000000000,Sara Gruen,2006.0,Water for Elephants,Water for Elephants,4.07,1068146
19063,375831002,9780000000000,Markus Zusak,2005.0,The Book Thief,The Book Thief,4.36,1159741
4381,307347974,9780000000000,Ray Bradbury,1953.0,Fahrenheit 451,Fahrenheit 451,3.97,570498
49041,316160199,9780000000000,Stephenie Meyer,2006.0,"New Moon (Twilight, #2)","New Moon (Twilight, #2)",3.52,1149630
30119,60513039,9780000000000,Shel Silverstein,1974.0,Where the Sidewalk Ends: The Poems and Drawings of Shel Silverstein,Where the Sidewalk Ends,4.29,1016888
256683,1416914285,9780000000000,Cassandra Clare,2007.0,City of Bones,"City of Bones (The Mortal Instruments, #1)",4.12,1154031
428263,316160202,9780000000000,Stephenie Meyer,2007.0,Eclipse,"Eclipse (Twilight, #3)",3.69,1134511
113436,375826696,9780000000000,Christopher Paolini,2002.0,Eragon,"Eragon (The Inheritance Cycle, #1)",3.86,1104021
11,345391802,9780000000000,Douglas Adams,1979.0,The Hitchhiker's Guide to the Galaxy,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782
5129,60929871,9780000000000,Aldous Huxley,1932.0,Brave New World,Brave New World,3.97,1022601
1162543,031606792X,9780000000000,Stephenie Meyer,2008.0,Breaking Dawn,"Breaking Dawn (Twilight, #4)",3.7,1070245
37435,142001740,9780000000000,Sue Monk Kidd,2001.0,The Secret Life of Bees,The Secret Life of Bees,4.01,916189
2956,142437174,9780000000000,"Mark Twain, John Seelye, Guy Cardwell",1884.0,The Adventures of Huckleberry Finn,The Adventures of Huckleberry Finn,3.8,953758
24178,64410935,9780000000000,"E.B. White, Garth Williams, Rosemary Wells",1952.0,Charlotte's Web,Charlotte's Web,4.15,1064521
1618,1400032717,9780000000000,Mark Haddon,2003.0,The Curious Incident of the Dog in the Night-Time,The Curious Incident of the Dog in the Night-Time,3.85,867553
22557272,1594633665,9780000000000,Paula Hawkins,2015.0,The Girl on the Train,The Girl on the Train,3.88,1008778
119322,679879242,9780000000000,Philip Pullman,1995.0,Northern Lights,"The Golden Compass (His Dark Materials, #1)",3.94,953970
6185,393978893,9780000000000,"Emily Brontë, Richard J. Dunn",1847.0,Wuthering Heights,Wuthering Heights,3.82,899195
10917,743454537,9780000000000,Jodi Picoult,2004.0,My Sister's Keeper,My Sister's Keeper,4.06,863879
4981,385333846,9780000000000,Kurt Vonnegut Jr.,1969.0,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",Slaughterhouse-Five,4.06,846488
18405,446675539,9780000000000,Margaret Mitchell,1936.0,Gone with the Wind,Gone with the Wind,4.28,873981
128029,1594489505,9780000000000,Khaled Hosseini,2007.0,A Thousand Splendid Suns,A Thousand Splendid Suns,4.34,818742
22628,671027344,9780000000000,Stephen Chbosky,1999.0,The Perks of Being a Wallflower,The Perks of Being a Wallflower,4.21,888806
11735983,7442912,9780000000000,Veronica Roth,2012.0,Insurgent,"Insurgent (Divergent, #2)",4.07,836362
375802,812550706,9780000000000,Orson Scott Card,1985.0,Ender's Game,"Ender's Game (Ender's Saga, #1)",4.3,813439
18490,141439475,9780000000000,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818.0,"Frankenstein; or, The Modern Prometheus",Frankenstein,3.75,808589
11588,450040186,9780000000000,Stephen King,1977.0,The Shining,The Shining (The Shining #1),4.17,791850
1656001,316068047,9780000000000,Stephenie Meyer,2008.0,The Host,"The Host (The Host, #1)",3.84,749780
99561,142402516,9780000000000,John Green,2005.0,Looking for Alaska,Looking for Alaska,4.09,783470
14935,141439661,9780000000000,"Jane Austen, Tony Tanner, Ros Ballaster",1811.0,Sense and Sensibility,Sense and Sensibility,4.06,738894
38709,439244196,9780000000000,"Louis Sachar, Louis Sachar",1998.0,Holes,"Holes (Holes, #1)",3.93,747445
5139,307275558,9780000000000,Lauren Weisberger,2003.0,The Devil Wears Prada,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930
1381,143039954,9780000000000,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720.0,Ὀδύσσεια,The Odyssey,3.73,670326
157993,156012197,9780000000000,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946.0,Le Petit Prince,The Little Prince,4.28,738757
7445,074324754X,9780000000000,Jeannette Walls,2005.0,The Glass Castle,The Glass Castle,4.24,621099
1845,385486804,9780000000000,Jon Krakauer,1996.0,Into the Wild,Into the Wild,3.94,647684
1953,141439602,9780000000000,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859.0,A Tale of Two Cities,A Tale of Two Cities,3.81,637412
7677,030734813X,9780000000000,Michael Crichton,1990.0,Jurassic Park,"Jurassic Park (Jurassic Park, #1)",3.96,447833
370493,60256656,9780000000000,Shel Silverstein,1964.0,The Giving Tree,The Giving Tree,4.38,702332
32542,385338600,9780000000000,John Grisham,1989.0,A Time to Kill,A Time to Kill,4.03,597775
1617,374500010,9780000000000,"Elie Wiesel, Marion Wiesel",1958.0,Un di Velt Hot Geshvign,Night (The Night Trilogy #1),4.3,691231
6442769,014241493X,9780000000000,John Green,2008.0,Paper Towns,Paper Towns,3.88,461311
21787,345418263,9780000000000,William Goldman,1973.0,The Princess Bride,The Princess Bride ,4.25,628637
231804,014038572X,9780000000000,S.E. Hinton,1967.0,The Outsiders,The Outsiders,4.06,659248
6186357,385737947,9780000000000,James Dashner,2009.0,The Maze Runner,"The Maze Runner (Maze Runner, #1)",4.02,719925
1202,61234001,9780000000000,"Steven D. Levitt, Stephen J. Dubner",2005.0,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191
2998,517189607,9780000000000,Frances Hodgson Burnett,1911.0,The Secret Garden,The Secret Garden,4.12,639357
320,60531045,9780000000000,"Gabriel García Márquez, Gregory Rabassa",1967.0,Cien años de soledad,One Hundred Years of Solitude,4.04,490565
5297,375751513,9780000000000,"Oscar Wilde, Jeffrey Eugenides",1891.0,The Picture of Dorian Gray,The Picture of Dorian Gray,4.06,590014
13536860,345803507,9780000000000,E.L. James,2012.0,Fifty Shades Freed,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290
17245,393970124,9780000000000,"Bram Stoker, Nina Auerbach, David J. Skal",1897.0,Dracula,Dracula,3.98,618973
5060378,307269981,9780000000000,"Stieg Larsson, Reg Keeland",2006.0,Flickan som lekte med elden,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994
11857408,1612130585,9780000000000,E.L. James,2011.0,Fifty Shades Darker,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059
7244,60786507,9780000000000,Barbara Kingsolver,1998.0,The Poisonwood Bible,The Poisonwood Bible,4.02,546502
4137,349113912,9780000000000,David Sedaris,2000.0,Me Talk Pretty One Day,Me Talk Pretty One Day,3.97,495736
19543,99408392,9780000000000,Maurice Sendak,1963.0,Where the Wild Things Are,Where the Wild Things Are,4.22,620618
7126,140449264,9780000000000,"Alexandre Dumas, Robin Buss",1844.0,Le Comte de Monte-Cristo,The Count of Monte Cristo,4.21,555822
6288,307265439,9780000000000,Cormac McCarthy,2006.0,The Road,The Road,3.95,504793
18710190,7524277,9780000000000,Veronica Roth,2013.0,Allegiant,"Allegiant (Divergent, #3)",3.63,463257
3473,446693804,9780000000000,Nicholas Sparks,1999.0,A Walk to Remember,A Walk to Remember,4.15,546948
9416,440241413,9780000000000,Sophie Kinsella,2000.0,Confessions of a Shopaholic,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658
24280,451525264,9780000000000,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862.0,Les Misérables,Les Misérables,4.14,513407
10572,553381695,9780000000000,George R.R. Martin,1998.0,A Clash of Kings,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303
10441,143037145,9780000000000,Kim Edwards,2005.0,The Memory Keeper's Daughter,The Memory Keeper's Daughter,3.64,501430
15507958,670026603,9780000000000,Jojo Moyes,2012.0,Me Before You,"Me Before You (Me Before You, #1)",4.27,587647
168668,684833395,9780000000000,Joseph Heller,1961.0,Catch-22,Catch-22,3.98,563265
6900,751529818,9780000000000,"Mitch Albom, Saulius Dagys",1997.0,Tuesdays with Morrie,Tuesdays with Morrie,4.06,556518
2187,312422156,9780000000000,Jeffrey Eugenides,2002.0,Middlesex,Middlesex,3.98,488243
24583,143039563,9780000000000,"Mark Twain, Guy Cardwell, John Seelye",1876.0,The Adventures of Tom Sawyer,The Adventures of Tom Sawyer,3.89,555359
18131,440498058,9780000000000,Madeleine L'Engle,1962.0,A Wrinkle in Time,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907
7763,143038095,9780000000000,Amy Tan,1989.0,The Joy Luck Club,The Joy Luck Club,3.9,515090
38447,038549081X,9780000000000,Margaret Atwood,1985.0,The Handmaid's Tale,The Handmaid's Tale,4.06,607889
452306,385729332,9780000000000,Ann Brashares,2001.0,The Sisterhood of the Traveling Pants,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706
37442,60987103,9780000000000,"Gregory Maguire, Douglas Smith",1995.0,Wicked: The Life and Times of the Wicked Witch of the West,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900
5358,582418275,9780000000000,John Grisham,1991.0,The Firm,"The Firm (Penguin Readers, Level 5)",3.99,488269
7937843,316098337,9780000000000,Emma Donoghue,2010.0,Room,Room,4.03,511360
1420,521618746,9780000000000,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,"The Tragicall Historie of Hamlet, Prince of Denmark",Hamlet,4.0,515820
234225,340839937,9780000000000,Frank Herbert,1965.0,Dune,Dune (Dune Chronicles #1),4.19,485032
2612,316346624,9780000000000,Malcolm Gladwell,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504
11084145,1451648537,9780000000000,Walter Isaacson,2011.0,Steve Jobs,Steve Jobs,4.09,560715
332613,451163966,9780000000000,Ken Kesey,1962.0,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest,4.18,491642
2165,684830493,9780000000000,Ernest Hemingway,1952.0,The Old Man and the Sea,The Old Man and the Sea,3.73,520630
4395,142000663,9780000000000,John Steinbeck,1939.0,The Grapes of Wrath,The Grapes of Wrath,3.92,322321
8127,451528824,9780000000000,L.M. Montgomery,1908.0,Anne of Green Gables,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247
3777732,1416914307,9780000000000,Cassandra Clare,2009.0,City of Glass,"City of Glass (The Mortal Instruments, #3)",4.34,593173
62291,055357342X,9780000000000,George R.R. Martin,2000.0,A Storm of Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022
137791,006075995X,9780000000000,Rebecca Wells,1996.0,Divine Secrets of the Ya-Ya Sisterhood,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676
10964,440242940,9780000000000,Diana Gabaldon,1991.0,Outlander,"Outlander (Outlander, #1)",4.2,515547
12296,142437263,9780000000000,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,The Scarlet Letter,The Scarlet Letter,3.37,509883
9460487,1594744769,9780000000000,Ransom Riggs,2011.0,Miss Peregrine’s Home for Peculiar Children,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674
6892870,030726999X,9780000000000,"Stieg Larsson, Reg Keeland",2007.0,Luftslottet som sprängdes,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951
18007564,804139024,9780000000000,Andy Weir,2012.0,The Martian,The Martian,4.39,423344
5043,451207149,9780000000000,Ken Follett,1989.0,The Pillars of the Earth,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517
8664353,1400064163,9780000000000,Laura Hillenbrand,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption","Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775
976,671027387,9780000000000,Dan Brown,2001.0,Deception Point,Deception Point,3.67,455610
17333223,316055433,9780000000000,Donna Tartt,2013.0,The Goldfinch,The Goldfinch,3.87,396756
1217100,1595141715,9780000000000,Jay Asher,2007.0,Thirteen Reasons Why,Thirteen Reasons Why,4.02,463783
2865,452287022,9780000000000,Tracy Chevalier,1999.0,Girl with a Pearl Earring,Girl with a Pearl Earring,3.85,467577
4374400,525421033,9780000000000,Gayle Forman,2009.0,If I Stay,"If I Stay (If I Stay, #1)",3.96,503527
4989,312353766,9780000000000,Anita Diamant,1997.0,The Red Tent,The Red Tent,4.16,424981
28186,786856866,9780000000000,Rick Riordan,2006.0,The Sea of Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932
5526,446528056,9780000000000,Nicholas Sparks,2006.0,Dear John,Dear John,4.01,441062
1582996,1416914293,9780000000000,Cassandra Clare,2008.0,City of Ashes,"City of Ashes (The Mortal Instruments, #2)",4.21,541117
8852,743477103,9780000000000,William Shakespeare,1606.0,The Tragedy of Macbeth,Macbeth,3.88,496018
15241,618346260,9780000000000,J.R.R. Tolkien,1954.0,The Two Towers,"The Two Towers (The Lord of the Rings, #2)",4.42,480446
42156,031232118X,9780000000000,Emily Giffin,2004.0,Something Borrowed,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601
23772,394800168,9780000000000,"Dr. Seuss, לאה נאור",1960.0,Green Eggs and Ham,Green Eggs and Ham,4.29,457475
6310,142403881,9780000000000,"Roald Dahl, Quentin Blake",1964.0,Charlie and the Chocolate Factory,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959
2120932,1423101464,9780000000000,Rick Riordan,2008.0,The Battle of the Labyrinth,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214
2623,192833596,9780000000000,Charles Dickens,1860.0,Great Expectations,Great Expectations,3.75,459247
18512,345339738,9780000000000,J.R.R. Tolkien,1955.0,The Return of the King,"The Return of the King (The Lord of the Rings, #3)",4.51,463959
7736182,142311339X,9780000000000,Rick Riordan,2010.0,The Lost Hero,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576
15745753,1250012570,9780000000000,Rainbow Rowell,2013.0,Eleanor & Park,Eleanor & Park,4.11,514312
13497,055358202X,9780000000000,George R.R. Martin,2005.0,A Feast for Crows,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186
7735333,525423648,9780000000000,Ally Condie,2010.0,Matched,"Matched (Matched, #1)",3.68,511815
4407,747263744,9780000000000,Neil Gaiman,2001.0,American Gods,"American Gods (American Gods, #1)",4.11,378019
149267,385199570,9780000000000,"Stephen King, Bernie Wrightson",1978.0,The Stand,The Stand,4.34,438832
6400090,446547565,9780000000000,Nicholas Sparks,2008.0,The Last Song,The Last Song,4.14,424637
11125,552151696,9780000000000,Dan Brown,1998.0,Digital Fortress,Digital Fortress,3.6,423019
6969,141439580,9780000000000,"Jane Austen, Fiona Stafford",1815.0,Emma,Emma,3.99,459826
15823480,345803922,9780000000000,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877.0,Анна Каренина,Anna Karenina,4.02,297472
227463,393312836,9780000000000,Anthony Burgess,1962.0,A Clockwork Orange,A Clockwork Orange,3.98,431195
1812457,964729237,9780000000000,William Paul Young,2007.0,The Shack: Where Tragedy Confronts Eternity,The Shack,3.74,419539
4502507,739380338,9780000000000,Rick Riordan,2009.0,The Last Olympian,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500
18342,451169514,9780000000000,Stephen King,1986.0,It,It,4.18,292592
7144,143058142,9780000000000,"Fyodor Dostoyevsky, David McDuff",1866.0,Преступление и наказание,Crime and Punishment,4.18,380903
6514,61148512,9780000000000,Sylvia Plath,1963.0,The Bell Jar,The Bell Jar,3.98,401605
252577,7205236,9780000000000,Frank McCourt,1996.0,Angela's Ashes: A Memoir,"Angela's Ashes (Frank McCourt, #1)",4.07,392103
52036,553208845,9780000000000,"Hermann Hesse, Hilda Rosner",1922.0,Siddhartha,Siddhartha,3.99,372099
168642,679745580,9780000000000,Truman Capote,1965.0,In Cold Blood,In Cold Blood,4.05,381652
6304335,316042676,9780000000000,"Kami Garcia, Margaret Stohl",2009.0,Beautiful Creatures,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093
7171637,1416975861,9780000000000,Cassandra Clare,2010.0,Clockwork Angel,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890
39988,141301066,9780000000000,"Roald Dahl, Quentin Blake",1988.0,Matilda,Matilda,4.29,440743
9361589,385534639,9780000000000,Erin Morgenstern,2011.0,The Night Circus,The Night Circus,4.03,429543
37470,743227441,9780000000000,Philippa Gregory,2001.0,The Other Boleyn Girl,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080
24770,689865384,9780000000000,Scott Westerfeld,2005.0,Uglies,"Uglies (Uglies, #1)",3.86,449073
33,618640150,9780000000000,J.R.R. Tolkien,1955.0,The Lord of the Rings,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054
12262741,307592731,9780000000000,Cheryl Strayed,2012.0,Wild: From Lost to Found on the Pacific Crest Trail ,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872
472331,930289234,9780000000000,"Alan Moore, Dave Gibbons, John Higgins",1987.0,Watchmen,Watchmen,4.35,398018
186074,075640407X,9780000000000,Patrick Rothfuss,2007.0,The Name of the Wind,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101
3228917,316017922,9780000000000,Malcolm Gladwell,2008.0,Outliers: The Story of Success,Outliers: The Story of Success,4.11,353011
153747,142437247,9780000000000,"Herman Melville, Andrew Delbanco, Tom Quirk",1851.0,"Moby Dick; or, The Whale","Moby-Dick or, The Whale",3.46,358050
2728527,385340990,9780000000000,"Mary Ann Shaffer, Annie Barrows",2008.0,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and Potato Peel Pie Society,4.12,393626
5759,393327345,9780000000000,Chuck Palahniuk,1996.0,Fight Club,Fight Club,4.2,365349
301082,441008534,9780000000000,Charlaine Harris,2001.0,Dead Until Dark,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764
11486,671727796,9780000000000,Alice Walker,1982.0,The Color Purple,The Color Purple,4.17,376766
12691,739461192,9780000000000,John Grogan,2005.0,Marley & Me: Life and Love with the World's Worst Dog,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304
16299,312330871,9780000000000,Agatha Christie,1939.0,Ten Little Niggers,And Then There Were None,4.23,408983
6411961,385504225,9780000000000,Dan Brown,2009.0,The Lost Symbol,"The Lost Symbol (Robert Langdon, #3)",3.66,369428
6339664,1416989412,9780000000000,Becca Fitzpatrick,2009.0,"Hush, Hush","Hush, Hush (Hush, Hush, #1)",4.0,448166
43763,345476875,9780000000000,Anne Rice,1976.0,Interview with the Vampire,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566
10507293,62059939,9780000000000,Kiera Cass,2012.0,The Selection,"The Selection (The Selection, #1)",4.15,505340
6853,312362080,9780000000000,Janet Evanovich,1994.0,One for the Money,"One for the Money (Stephanie Plum, #1)",4.03,391007
6493208,1400052173,9780000000000,Rebecca Skloot,2010.0,The Immortal Life of Henrietta Lacks,The Immortal Life of Henrietta Lacks,4.04,377249
23807,99446782,9780000000000,Thomas Harris,1988.0,The Silence of the Lambs,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,351107
40102,316010669,9780000000000,Malcolm Gladwell,2005.0,Blink: The Power of Thinking Without Thinking,Blink: The Power of Thinking Without Thinking,3.89,348196
6867,038572179X,9780000000000,Ian McEwan,2001.0,Atonement,Atonement,3.88,347006
485894,553213695,9780000000000,"Franz Kafka, Stanley Corngold",1915.0,Die Verwandlung,The Metamorphosis,3.78,364933
